Keys,id,rev,version,date,code,name,created,lastUpdated,translations,categoryOptions,ignoreApproval,attributeValues,categoryCombo.id,shortName,formName,legendSets,aggregationType,valueType,inherit,displayOnVisitSchedule,displayInListNoProgram,confidential,unique,generated,pattern,orgunitScope,skipSynchronization,createdBy.id,createdBy.code,createdBy.name,createdBy.displayName,createdBy.username,lastUpdatedBy.id,lastUpdatedBy.code,lastUpdatedBy.name,lastUpdatedBy.displayName,lastUpdatedBy.username,sharing.owner,sharing.external,sharing.public,optionSet.id,programRuleActionType,programRule.id,dataElement.id,categories,dataDimensionType,skipTotal,description,programRuleActions,condition,program.id,programStage.id,priority,path,openingDate,level,parent.id,username,externalAuth,passwordLastUpdated,cogsDimensionConstraints,catDimensionConstraints,lastLogin,selfRegistered,invitation,disabled,surname,firstName,organisationUnits,dataViewOrganisationUnits,teiSearchOrganisationUnits,userRoles,sortOrder,dataDimension,domainType,aggregationLevels,zeroIsSignificant,minDaysFromStart,programStageDataElements,autoGenerateEvent,validationStrategy,displayGenerateEventBox,blockEntryForm,preGenerateUID,remindCompleted,generatedByEnrollmentDate,allowGenerateNextVisit,openAfterEnrollment,hideDueDate,enableUserAssignment,referral,repeatable,programStageSections,notificationTemplates,dataElements,programIndicators,renderType.MOBILE.type,renderType.DESKTOP.type,options,enrollmentDateLabel,incidentDateLabel,programType,displayIncidentDate,ignoreOverdueEvents,onlyEnrollOnce,selectEnrollmentDatesInFuture,selectIncidentDatesInFuture,skipOffline,displayFrontPageList,useFirstStageDuringRegistration,expiryDays,completeEventsExpiryDays,openDaysAfterCoEndDate,minAttributesRequiredToSearch,maxTeiCountToReturn,accessLevel,programStages,programSections,programTrackedEntityAttributes,trackedEntityType.id,useCodeForOptionSet,programRuleVariableSourceType,authorities,restrictions,trackedEntityTypeAttributes,featureType,allowAuditLog,style.color
system,e8e240b5-22d6-454c-a953-20169e4b7c79,ecb6038,2.41-SNAPSHOT,2024-03-13T14:59:56.697+0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryOptionCombos,HllvX50cXC0,,,,default,default,2023-12-17T15:53:27.638,2023-12-17T15:53:27.643,[],[{'id': 'xYerKDKCefk'}],False,[],bjDvmb4bfuf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryOptionCombos,ZF7hIfLhP5u,,,,,Age at death,2024-02-01T18:31:23.263,2024-02-01T18:31:23.263,[],,,[],,Age at death,Age at death,[],COUNT,NUMBER,False,False,False,False,False,False,,False,False,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,False,rw------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryOptionCombos,dhJMMe3dt2U,,,,,CMEID,2024-02-01T18:32:10.870,2024-02-01T18:32:10.870,[],,,[],,CMEID,CMEID,[],NONE,TEXT,False,False,False,False,True,False,,True,False,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,False,rw------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryOptionCombos,xVwtJkpx5UT,,,,,Data Source,2024-02-01T18:33:14.248,2024-02-01T18:33:14.248,[],,,[],,Data Source,Data Source,[],COUNT,ORGANISATION_UNIT,False,False,False,False,False,False,,False,False,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,False,rw------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryOptionCombos,aa6WLz17Ain,,,,,Municipality of usual residence,2024-02-01T18:34:37.345,2024-02-01T18:34:37.345,[],,,[],,Municipality of usual residence,Municipality of usual residence,[],COUNT,TEXT,False,False,False,False,False,False,,False,False,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,False,rw------,KOkupf0VM0f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
categoryOptionCombos,KJv9g9MwAw5,,,,,Postal code of usual residence,2024-02-01T18:33:52.872,2024-02-01T18:33:52.872,[],,,[],,Postal code of usual residence,Postal code of usual residence,[],COUNT,TEXT,False,False,False,False,False,False,,False,False,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,False,rw------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,obfQvYlRHbe,,,,,Sex,2024-02-01T18:30:52.864,2024-02-01T18:30:52.864,[],,,[],,Sex,Sex,[],COUNT,TEXT,False,False,False,False,False,False,,False,False,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,XU4u0OKXmms,False,rw------,HYvtYgvF0EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,EqHWkYIFLvP,,,,,,2024-02-07T18:29:48.846,2024-02-08T15:20:34.751,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,KzOfB3r43sd,E6XEChB4EzV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trackedEntityAttributes,JUhpD7miMim,,,,,,2024-02-07T18:28:13.994,2024-02-15T14:51:51.463,[],,,,,,,,,,,,,,,,,,,,,,,,XU4u0OKXmms,,Raahyma Ahmad,Raahyma Ahmad,raaahm,,,,,HIDEFIELD,lNnaIB5wz1C,KTrLxaWzzDF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
